borocd,pop_2000,pop_2010,pop_change_00_10
101,34420,60978,0.77
102,93119,90016,-0.03
103,164407,163277,-0.01
104,87479,103245,0.18
105,44028,51673,0.17
106,136152,142745,0.05
107,207699,209084,0.01
108,217063,219920,0.01
109,111724,110193,-0.01
110,107109,115723,0.08
111,117743,120511,0.02
112,208414,190020,-0.09
201,82159,91497,0.11
202,46824,52246,0.12
203,68574,79762,0.16
204,139563,146441,0.05
205,128313,128200,0
206,75688,83268,0.1
207,141411,139286,-0.02
208,101332,101731,0
209,167859,172298,0.03
210,115948,120392,0.04
211,110706,113232,0.02
212,149077,152344,0.02
301,160338,173083,0.08
302,98620,99617,0.01
303,143867,152985,0.06
304,104358,112634,0.08
305,173198,182896,0.06
306,104054,104709,0.01
307,120063,126230,0.05
308,96076,96317,0
309,104014,98429,-0.05
310,122542,124491,0.02
311,172129,181981,0.06
312,185046,191382,0.03
313,106120,104278,-0.02
314,168806,160664,-0.05
315,160319,159650,0
316,85343,86468,0.01
317,165753,155252,-0.06
318,194653,193543,-0.01
401,211220,191105,-0.1
402,109920,113200,0.03
403,169083,171576,0.01
404,167005,172598,0.03
405,165911,169190,0.02
406,115967,113257,-0.02
407,242952,247354,0.02
408,146594,151107,0.03
409,141608,143317,0.01
410,127274,122396,-0.04
411,116404,116431,0
412,223602,225919,0.01
413,196284,188593,-0.04
414,106686,114978,0.08
501,162609,175756,0.08
502,127071,132003,0.04
503,152908,160209,0.05