borocd,cd_full_title,cd_short_title
101,Manhattan Community District 1,Manhattan CD 1
102,Manhattan Community District 2,Manhattan CD 2
103,Manhattan Community District 3,Manhattan CD 3
104,Manhattan Community District 4,Manhattan CD 4
105,Manhattan Community District 5,Manhattan CD 5
106,Manhattan Community District 6,Manhattan CD 6
107,Manhattan Community District 7,Manhattan CD 7
108,Manhattan Community District 8,Manhattan CD 8
109,Manhattan Community District 9,Manhattan CD 9
110,Manhattan Community District 10,Manhattan CD 10
111,Manhattan Community District 11,Manhattan CD 11
112,Manhattan Community District 12,Manhattan CD 12
201,Bronx Community District 1,Bronx CD 1
202,Bronx Community District 2,Bronx CD 2
203,Bronx Community District 3,Bronx CD 3
204,Bronx Community District 4,Bronx CD 4
205,Bronx Community District 5,Bronx CD 5
206,Bronx Community District 6,Bronx CD 6
207,Bronx Community District 7,Bronx CD 7
208,Bronx Community District 8,Bronx CD 8
209,Bronx Community District 9,Bronx CD 9
210,Bronx Community District 10,Bronx CD 10
211,Bronx Community District 11,Bronx CD 11
212,Bronx Community District 12,Bronx CD 12
301,Brooklyn Community District 1,Brooklyn CD 1
302,Brooklyn Community District 2,Brooklyn CD 2
303,Brooklyn Community District 3,Brooklyn CD 3
304,Brooklyn Community District 4,Brooklyn CD 4
305,Brooklyn Community District 5,Brooklyn CD 5
306,Brooklyn Community District 6,Brooklyn CD 6
307,Brooklyn Community District 7,Brooklyn CD 7
308,Brooklyn Community District 8,Brooklyn CD 8
309,Brooklyn Community District 9,Brooklyn CD 9
310,Brooklyn Community District 10,Brooklyn CD 10
311,Brooklyn Community District 11,Brooklyn CD 11
312,Brooklyn Community District 12,Brooklyn CD 12
313,Brooklyn Community District 13,Brooklyn CD 13
314,Brooklyn Community District 14,Brooklyn CD 14
315,Brooklyn Community District 15,Brooklyn CD 15
316,Brooklyn Community District 16,Brooklyn CD 16
317,Brooklyn Community District 17,Brooklyn CD 17
318,Brooklyn Community District 18,Brooklyn CD 18
401,Queens Community District 1,Queens CD 1
402,Queens Community District 2,Queens CD 2
403,Queens Community District 3,Queens CD 3
404,Queens Community District 4,Queens CD 4
405,Queens Community District 5,Queens CD 5
406,Queens Community District 6,Queens CD 6
407,Queens Community District 7,Queens CD 7
408,Queens Community District 8,Queens CD 8
409,Queens Community District 9,Queens CD 9
410,Queens Community District 10,Queens CD 10
411,Queens Community District 11,Queens CD 11
412,Queens Community District 12,Queens CD 12
413,Queens Community District 13,Queens CD 13
414,Queens Community District 14,Queens CD 14
501,Staten Island Community District 1,Staten Island CD 1
502,Staten Island Community District 2,Staten Island CD 2
503,Staten Island Community District 3,Staten Island CD 3