acs_tooltip,acs_tooltip_2,acs_tooltip_3,borocd
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 1 and Manhattan CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 1.",2010 Census population counts for floodplain area within Manhattan CD 1.,101
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 2 and Manhattan CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 2.",2010 Census population counts for floodplain area within Manhattan CD 2.,102
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3809, which is an approximation of Manhattan CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3809, which is an approximation of Manhattan CD 3.",2010 Census population counts for floodplain area within Manhattan CD 3.,103
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 4 and Manhattan CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 4.",2010 Census population counts for floodplain area within Manhattan CD 4.,104
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 5 and Manhattan CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 5.",2010 Census population counts for floodplain area within Manhattan CD 5.,105
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3808, which is an approximation of Manhattan CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3808, which is an approximation of Manhattan CD 6.",2010 Census population counts for floodplain area within Manhattan CD 6.,106
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3806, which is an approximation of Manhattan CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3806, which is an approximation of Manhattan CD 7.",2010 Census population counts for floodplain area within Manhattan CD 7.,107
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3805, which is an approximation of Manhattan CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3805, which is an approximation of Manhattan CD 8.",2010 Census population counts for floodplain area within Manhattan CD 8.,108
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3802, which is an approximation of Manhattan CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3802, which is an approximation of Manhattan CD 9.",2010 Census population counts for floodplain area within Manhattan CD 9.,109
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3803, which is an approximation of Manhattan CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3803, which is an approximation of Manhattan CD 10.",2010 Census population counts for floodplain area within Manhattan CD 10.,110
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3804, which is an approximation of Manhattan CD 11","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3804, which is an approximation of Manhattan CD 11.",2010 Census population counts for floodplain area within Manhattan CD 11.,111
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3801, which is an approximation of Manhattan CD 12","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3801, which is an approximation of Manhattan CD 12.",2010 Census population counts for floodplain area within Manhattan CD 12.,112
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3710, which is an approximation of both Bronx CD 1 and Bronx CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3710, which is an approximation of Bronx CD 1.",2010 Census population counts for floodplain area within Bronx CD 1.,201
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3710, which is an approximation of both Bronx CD 2 and Bronx CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3710, which is an approximation of Bronx CD 2.",2010 Census population counts for floodplain area within Bronx CD 2.,202
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3705, which is an approximation of both Bronx CD 3 and Bronx CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3705, which is an approximation of Bronx CD 3.",2010 Census population counts for floodplain area within Bronx CD 3.,203
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3708, which is an approximation of Bronx CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3708, which is an approximation of Bronx CD 4.",2010 Census population counts for floodplain area within Bronx CD 4.,204
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3707, which is an approximation of Bronx CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3707, which is an approximation of Bronx CD 5.",2010 Census population counts for floodplain area within Bronx CD 5.,205
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3705, which is an approximation of both Bronx CD 6 and Bronx CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3705, which is an approximation of Bronx CD 6.",2010 Census population counts for floodplain area within Bronx CD 6.,206
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3706, which is an approximation of Bronx CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3706, which is an approximation of Bronx CD 7.",2010 Census population counts for floodplain area within Bronx CD 7.,207
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3701, which is an approximation of Bronx CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3701, which is an approximation of Bronx CD 8.",2010 Census population counts for floodplain area within Bronx CD 8.,208
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3709, which is an approximation of Bronx CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3709, which is an approximation of Bronx CD 9.",2010 Census population counts for floodplain area within Bronx CD 9.,209
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3703, which is an approximation of Bronx CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3703, which is an approximation of Bronx CD 10.",2010 Census population counts for floodplain area within Bronx CD 10.,210
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3704, which is an approximation of Bronx CD 11","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3704, which is an approximation of Bronx CD 11.",2010 Census population counts for floodplain area within Bronx CD 11.,211
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3702, which is an approximation of Bronx CD 12","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3702, which is an approximation of Bronx CD 12.",2010 Census population counts for floodplain area within Bronx CD 12.,212
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4001, which is an approximation of Brooklyn CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4001, which is an approximation of Brooklyn CD 1.",2010 Census population counts for floodplain area within Brooklyn CD 1.,301
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4004, which is an approximation of Brooklyn CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4004, which is an approximation of Brooklyn CD 2.",2010 Census population counts for floodplain area within Brooklyn CD 2.,302
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4003, which is an approximation of Brooklyn CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4003, which is an approximation of Brooklyn CD 3.",2010 Census population counts for floodplain area within Brooklyn CD 3.,303
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4002, which is an approximation of Brooklyn CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4002, which is an approximation of Brooklyn CD 4.",2010 Census population counts for floodplain area within Brooklyn CD 4.,304
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4008, which is an approximation of Brooklyn CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4008, which is an approximation of Brooklyn CD 5.",2010 Census population counts for floodplain area within Brooklyn CD 5.,305
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4005, which is an approximation of Brooklyn CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4005, which is an approximation of Brooklyn CD 6.",2010 Census population counts for floodplain area within Brooklyn CD 6.,306
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4012, which is an approximation of Brooklyn CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4012, which is an approximation of Brooklyn CD 7.",2010 Census population counts for floodplain area within Brooklyn CD 7.,307
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4006, which is an approximation of Brooklyn CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4006, which is an approximation of Brooklyn CD 8.",2010 Census population counts for floodplain area within Brooklyn CD 8.,308
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4011, which is an approximation of Brooklyn CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4011, which is an approximation of Brooklyn CD 9.",2010 Census population counts for floodplain area within Brooklyn CD 9.,309
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4013, which is an approximation of Brooklyn CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4013, which is an approximation of Brooklyn CD 10.",2010 Census population counts for floodplain area within Brooklyn CD 10.,310
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4017, which is an approximation of Brooklyn CD 11","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4017, which is an approximation of Brooklyn CD 11.",2010 Census population counts for floodplain area within Brooklyn CD 11.,311
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4014, which is an approximation of Brooklyn CD 12","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4014, which is an approximation of Brooklyn CD 12.",2010 Census population counts for floodplain area within Brooklyn CD 12.,312
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4018, which is an approximation of Brooklyn CD 13","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4018, which is an approximation of Brooklyn CD 13.",2010 Census population counts for floodplain area within Brooklyn CD 13.,313
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4015, which is an approximation of Brooklyn CD 14","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4015, which is an approximation of Brooklyn CD 14.",2010 Census population counts for floodplain area within Brooklyn CD 14.,314
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4016, which is an approximation of Brooklyn CD 15","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4016, which is an approximation of Brooklyn CD 15.",2010 Census population counts for floodplain area within Brooklyn CD 15.,315
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4007, which is an approximation of Brooklyn CD 16","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4007, which is an approximation of Brooklyn CD 16.",2010 Census population counts for floodplain area within Brooklyn CD 16.,316
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4010, which is an approximation of Brooklyn CD 17","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4010, which is an approximation of Brooklyn CD 17.",2010 Census population counts for floodplain area within Brooklyn CD 17.,317
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4009, which is an approximation of Brooklyn CD 18","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4009, which is an approximation of Brooklyn CD 18.",2010 Census population counts for floodplain area within Brooklyn CD 18.,318
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4101, which is an approximation of Queens CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4101, which is an approximation of Queens CD 1.",2010 Census population counts for floodplain area within Queens CD 1.,401
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4109, which is an approximation of Queens CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4109, which is an approximation of Queens CD 2.",2010 Census population counts for floodplain area within Queens CD 2.,402
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4102, which is an approximation of Queens CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4102, which is an approximation of Queens CD 3.",2010 Census population counts for floodplain area within Queens CD 3.,403
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4107, which is an approximation of Queens CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4107, which is an approximation of Queens CD 4.",2010 Census population counts for floodplain area within Queens CD 4.,404
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4110, which is an approximation of Queens CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4110, which is an approximation of Queens CD 5.",2010 Census population counts for floodplain area within Queens CD 5.,405
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4108, which is an approximation of Queens CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4108, which is an approximation of Queens CD 6.",2010 Census population counts for floodplain area within Queens CD 6.,406
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4103, which is an approximation of Queens CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4103, which is an approximation of Queens CD 7.",2010 Census population counts for floodplain area within Queens CD 7.,407
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4106, which is an approximation of Queens CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4106, which is an approximation of Queens CD 8.",2010 Census population counts for floodplain area within Queens CD 8.,408
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4111, which is an approximation of Queens CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4111, which is an approximation of Queens CD 9.",2010 Census population counts for floodplain area within Queens CD 9.,409
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4113, which is an approximation of Queens CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4113, which is an approximation of Queens CD 10.",2010 Census population counts for floodplain area within Queens CD 10.,410
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4104, which is an approximation of Queens CD 11","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4104, which is an approximation of Queens CD 11.",2010 Census population counts for floodplain area within Queens CD 11.,411
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4112, which is an approximation of Queens CD 12","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4112, which is an approximation of Queens CD 12.",2010 Census population counts for floodplain area within Queens CD 12.,412
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4105, which is an approximation of Queens CD 13","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4105, which is an approximation of Queens CD 13.",2010 Census population counts for floodplain area within Queens CD 13.,413
"American Community Survey 2014-2018 5-Year Estimates for PUMA 4114, which is an approximation of Queens CD 14","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4114, which is an approximation of Queens CD 14.",2010 Census population counts for floodplain area within Queens CD 14.,414
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3903, which is an approximation of Staten Island CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3903, which is an approximation of Staten Island CD 1.",2010 Census population counts for floodplain area within Staten Island CD 1.,501
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3902, which is an approximation of Staten Island CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3902, which is an approximation of Staten Island CD 2.",2010 Census population counts for floodplain area within Staten Island CD 2.,502
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3901, which is an approximation of Staten Island CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3901, which is an approximation of Staten Island CD 3.",2010 Census population counts for floodplain area within Staten Island CD 3.,503